"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","Ptot [max]","fT min","Polarity","IC max","VCEO max","Ptot max","Complement","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","hFE max"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847AM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847AM.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","BC857A","100","NPN","250","45","100","220","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847AW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847AW.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC857AW","100","NPN","200","45","100","220","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847B.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC857B","100","NPN","250","45","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847BM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847BM.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","BC857B","100","NPN","250","45","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847BW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847BW.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC857BW","100","NPN","200","45","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847C","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847C.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC857C","100","NPN","250","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847CM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847CM.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","BC857C","100","NPN","250","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847CW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847CW.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC857CW","100","NPN","200","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847W.html","http://www.nxp.com/documents/data_sheet/BC847_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC857W","100","NPN","200","45","100","800","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847AMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847AMB.html","http://www.nxp.com/documents/data_sheet/BC847XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","BC857A","100","NPN","250","45","100","220","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847BMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847BMB.html","http://www.nxp.com/documents/data_sheet/BC847XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","BC857B","100","NPN","250","45","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847CMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847CMB.html","http://www.nxp.com/documents/data_sheet/BC847XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","BC857C","100","NPN","250","45","100","800","420","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847AQA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847AQA.html","http://www.nxp.com/documents/data_sheet/BC847XQA_SER.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847BQA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847BQA.html","http://www.nxp.com/documents/data_sheet/BC847XQA_SER.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC847CQA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC847CQA.html","http://www.nxp.com/documents/data_sheet/BC847XQA_SER.pdf","SOT1215","DFN1010D-3","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC848B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC848B.html","http://www.nxp.com/documents/data_sheet/BC848_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","BC857B","100","NPN","250","30","100","450","200","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BC848W","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BC848W.html","http://www.nxp.com/documents/data_sheet/BC848_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","BC858W","100","NPN","250","30","100","800","110","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","BCV71","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/BCV71.html","http://www.nxp.com/documents/data_sheet/BCV71_72.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","100","NPN","250","60","100","220","110","","","","","","","",""
