"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","Configuration","VCC","Logic switching levels","RON","RON(FLAT)","f(-3dB)","THD","Xtalk","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Analog switches","74HCT4053BQ","http://www.nxp.com/products/logic/analog_switches/74HCT4053BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch; TTL enabled","SPDT-Z","4.5 - 5.5","TTL","225","20","160","0.04","","very low","-40~125","89","10.8","57","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HCT4053D","http://www.nxp.com/products/logic/analog_switches/74HCT4053D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch; TTL enabled","SPDT-Z","4.5 - 5.5","TTL","225","20","160","0.04","","very low","-40~125","88","7.68651497005988","47.0488263473054","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HCT4053DB","http://www.nxp.com/products/logic/analog_switches/74HCT4053DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch; TTL enabled","SPDT-Z","4.5 - 5.5","TTL","225","20","160","0.04","","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HCT4053PW","http://www.nxp.com/products/logic/analog_switches/74HCT4053PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4053.pdf","Production","HC(T)","triple single-pole, double-throw analog switch; TTL enabled","SPDT-Z","4.5 - 5.5","TTL","225","20","160","0.04","","very low","-40~125","121","3.58446107784431","49.8781437125748","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HC4066BQ","http://www.nxp.com/products/logic/analog_switches/74HC4066BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch","SPST-NO","2.0 - 10.0","CMOS","105","23","200","0.02","-60","very low","-40~125","100","16.1","68","14","DHVQFN14","SOT762-1"
"nxp","Logic---Analog switches","74HC4066D","http://www.nxp.com/products/logic/analog_switches/74HC4066D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch","SPST-NO","2.0 - 10.0","CMOS","105","23","200","0.02","-60","very low","-40~125","100","15.0","58","14","SO14","SOT108-1"
"nxp","Logic---Analog switches","74HC4066DB","http://www.nxp.com/products/logic/analog_switches/74HC4066DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch","SPST-NO","2.0 - 10.0","CMOS","105","23","200","0.02","-60","very low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Analog switches","74HC4066PW","http://www.nxp.com/products/logic/analog_switches/74HC4066PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch","SPST-NO","2.0 - 10.0","CMOS","105","23","200","0.02","-60","very low","-40~125","136","6.07841371681416","61.4625154867257","14","TSSOP14","SOT402-1"
"nxp","Logic---Analog switches","74HCT4066BQ","http://www.nxp.com/products/logic/analog_switches/74HCT4066BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","118","23","180","0.04","-60","very low","-40~125","100","16.1","68","14","DHVQFN14","SOT762-1"
"nxp","Logic---Analog switches","74HCT4066D","http://www.nxp.com/products/logic/analog_switches/74HCT4066D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","118","23","180","0.04","-60","very low","-40~125","100","15.0","58","14","SO14","SOT108-1"
"nxp","Logic---Analog switches","74HCT4066DB","http://www.nxp.com/products/logic/analog_switches/74HCT4066DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","118","23","180","0.04","-60","very low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Analog switches","74HCT4066PW","http://www.nxp.com/products/logic/analog_switches/74HCT4066PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4066.pdf","Production","HC(T)","quad single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","118","23","180","0.04","-60","very low","-40~125","136","6.07841371681416","61.4625154867257","14","TSSOP14","SOT402-1"
"nxp","Logic---Analog switches","74HC4067BQ","http://www.nxp.com/products/logic/analog_switches/74HC4067BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch","SP16T-Z","2.0 - 10.0","CMOS","200","25","100","0.02","","very low","-40~125","51","1.3","27","24","DHVQFN24","SOT815-1"
"nxp","Logic---Analog switches","74HC4067D","http://www.nxp.com/products/logic/analog_switches/74HC4067D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch","SP16T-Z","2.0 - 10.0","CMOS","200","25","100","0.02","","very low","-40~125","77","25.0","","24","SO24","SOT137-1"
"nxp","Logic---Analog switches","74HC4067DB","http://www.nxp.com/products/logic/analog_switches/74HC4067DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch","SP16T-Z","2.0 - 10.0","CMOS","200","25","100","0.02","","very low","-40~125","125","37.0","","24","SSOP24","SOT340-1"
"nxp","Logic---Analog switches","74HC4067PW","http://www.nxp.com/products/logic/analog_switches/74HC4067PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch","SP16T-Z","2.0 - 10.0","CMOS","200","25","100","0.02","","very low","-40~125","78","1.7","32","24","TSSOP24","SOT355-1"
"nxp","Logic---Analog switches","74HCT4067BQ","http://www.nxp.com/products/logic/analog_switches/74HCT4067BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch; TTL enabled","SP16T-Z","4.5 - 5.5","TTL","225","25","90","0.04","","very low","-40~125","51","1.3","27","24","DHVQFN24","SOT815-1"
"nxp","Logic---Analog switches","74HCT4067D","http://www.nxp.com/products/logic/analog_switches/74HCT4067D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch; TTL enabled","SP16T-Z","4.5 - 5.5","TTL","225","25","90","0.04","","very low","-40~125","77","25.0","","24","SO24","SOT137-1"
"nxp","Logic---Analog switches","74HCT4067DB","http://www.nxp.com/products/logic/analog_switches/74HCT4067DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch; TTL enabled","SP16T-Z","4.5 - 5.5","TTL","225","25","90","0.04","","very low","-40~125","125","37.0","","24","SSOP24","SOT340-1"
"nxp","Logic---Analog switches","74HCT4067PW","http://www.nxp.com/products/logic/analog_switches/74HCT4067PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4067.pdf","Production","HC(T)","single-pole, 16-throw analog switch; TTL enabled","SP16T-Z","4.5 - 5.5","TTL","225","25","90","0.04","","very low","-40~125","78","1.7","32","24","TSSOP24","SOT355-1"
"nxp","Logic---Analog switches","74HC4316D","http://www.nxp.com/products/logic/analog_switches/74HC4316D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4316_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch with translation","SPST-NO","2.0 - 10.0","CMOS","300","80","160","0.4","-60","very low","-40~125","86","6.9","45","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HC4316DB","http://www.nxp.com/products/logic/analog_switches/74HC4316DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4316_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch with translation","SPST-NO","2.0 - 10.0","CMOS","300","80","160","0.4","-60","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HC4316PW","http://www.nxp.com/products/logic/analog_switches/74HC4316PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4316_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch with translation","SPST-NO","2.0 - 10.0","CMOS","300","80","160","0.4","-60","very low","-40~125","119","3.19640407185629","47.9876095808383","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HCT4316D","http://www.nxp.com/products/logic/analog_switches/74HCT4316D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4316_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch with translation; TTL enabled","SPST-NO","4.5 - 5.5","TTL","400","50","150","0.8","-60","very low","-40~125","85","6.55302994011976","44.3376526946108","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HCT4316DB","http://www.nxp.com/products/logic/analog_switches/74HCT4316DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4316_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch with translation; TTL enabled","SPST-NO","4.5 - 5.5","TTL","400","50","150","0.8","-60","very low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Analog switches","74HCT4316PW","http://www.nxp.com/products/logic/analog_switches/74HCT4316PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4316_CNV.pdf","Production","HC(T)","quad single-pole, single-throw analog switch with translation; TTL enabled","SPST-NO","4.5 - 5.5","TTL","400","50","150","0.8","-60","very low","-40~125","119","3.19640407185629","47.9876095808383","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HC4351D","http://www.nxp.com/products/logic/analog_switches/74HC4351D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4351_CNV.pdf","Production","HC(T)","single-pole, octal-throw analog switch with latch","SP8T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","","very low","-40~125","75","17.6","51","20","SO20","SOT163-1"
"nxp","Logic---Analog switches","74HC4351DB","http://www.nxp.com/products/logic/analog_switches/74HC4351DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4351_CNV.pdf","Production","HC(T)","single-pole, octal-throw analog switch with latch","SP8T-Z","2.0 - 10.0","CMOS","200","20","180","0.02","","very low","-40~125","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Analog switches","74HCT4351D","http://www.nxp.com/products/logic/analog_switches/74HCT4351D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4351_CNV.pdf","Production","HC(T)","single-pole, octal-throw analog switch with latch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","225","20","170","0.04","","very low","-40~125","75","17.6","51","20","SO20","SOT163-1"
"nxp","Logic---Analog switches","74HCT4351DB","http://www.nxp.com/products/logic/analog_switches/74HCT4351DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4351_CNV.pdf","Production","HC(T)","single-pole, octal-throw analog switch with latch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","225","20","170","0.04","","very low","-40~125","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Analog switches","74HC4851BQ","http://www.nxp.com/products/logic/analog_switches/74HC4851BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4851.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","220","","","","","very low","-40~125","80","4.9","48","16","DHVQFN16","SOT763-1"
"nxp","Logic---Analog switches","74HC4851D","http://www.nxp.com/products/logic/analog_switches/74HC4851D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4851.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","220","","","","","very low","-40~125","80","3.9","38","16","SO16","SOT109-1"
"nxp","Logic---Analog switches","74HC4851PW","http://www.nxp.com/products/logic/analog_switches/74HC4851PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4851.pdf","Production","HC(T)","single-pole, octal-throw analog switch","SP8T-Z","2.0 - 10.0","CMOS","220","","","","","very low","-40~125","112","1.65489520958084","40.4776946107784","16","TSSOP16","SOT403-1"
"nxp","Logic---Analog switches","74HCT4851BQ","http://www.nxp.com/products/logic/analog_switches/74HCT4851BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT4851.pdf","Production","HC(T)","single-pole, octal-throw analog switch; TTL enabled","SP8T-Z","4.5 - 5.5","TTL","240","","","","","very low","-40~125","80","4.7","47","16","DHVQFN16","SOT763-1"
