"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---AND gates","74AXP1G11GM","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G11GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G11.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT886"
"nxp","Logic---Gates---AND gates","74AXP1G11GN","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G11GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G11.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT1115"
"nxp","Logic---Gates---AND gates","74AXP1G11GS","http://www.nxp.com/products/logic/gates/and_gates/74AXP1G11GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G11.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT1202"
"nxp","Logic---Gates---AND gates","74HC21D","http://www.nxp.com/products/logic/gates/and_gates/74HC21D.html","http://www.nxp.com/documents/data_sheet/74HC21.pdf","Production","HC(T)","AND gates","dual 4-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","10","","2","low","-40~125","83","3.4","40","14","SO14","SOT108-1"
"nxp","Logic---Gates---AND gates","74HC21DB","http://www.nxp.com/products/logic/gates/and_gates/74HC21DB.html","http://www.nxp.com/documents/data_sheet/74HC21.pdf","Production","HC(T)","AND gates","dual 4-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","10","","2","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---AND gates","74HC21PW","http://www.nxp.com/products/logic/gates/and_gates/74HC21PW.html","http://www.nxp.com/documents/data_sheet/74HC21.pdf","Production","HC(T)","AND gates","dual 4-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","10","","2","low","-40~125","124","2.13884955752212","48.2735398230089","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---AND gates","74HC1G08GV","http://www.nxp.com/products/logic/gates/and_gates/74HC1G08GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G08.pdf","Production","HC(T)","AND gates","single 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","7","","1","low","-40~125","220","33.0","131","5","TSOP5","SOT753"
"nxp","Logic---Gates---AND gates","74HC1G08GW","http://www.nxp.com/products/logic/gates/and_gates/74HC1G08GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G08.pdf","Production","HC(T)","AND gates","single 2-input AND gate","2.0 - 6.0","CMOS","+/- 5.2","7","","1","low","-40~125","261","39.3","138","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---AND gates","74HCT1G08GV","http://www.nxp.com/products/logic/gates/and_gates/74HCT1G08GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G08.pdf","Production","HC(T)","AND gates","single 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 2","11","","1","low","-40~125","220","33.0","131","5","TSOP5","SOT753"
"nxp","Logic---Gates---AND gates","74HCT1G08GW","http://www.nxp.com/products/logic/gates/and_gates/74HCT1G08GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G08.pdf","Production","HC(T)","AND gates","single 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 2","11","","1","low","-40~125","261","39.3","138","5","TSSOP5","SOT353-1"
