"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---NAND gates","74AUP1G00GW","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G00GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G00.pdf","Production","AUP","NAND gates","single 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NAND gates","74AUP1G00GX","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G00GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G00.pdf","Production","AUP","NAND gates","single 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","322","90.7","191","5","X2SON5","SOT1226"
"nxp","Logic---Gates---NAND gates","74AUP1G38GF","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G38GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G38.pdf","Production","AUP","NAND gates","open-drain; single 2-input NAND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Gates---NAND gates","74AUP1G38GM","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G38GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G38.pdf","Production","AUP","NAND gates","open-drain; single 2-input NAND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
"nxp","Logic---Gates---NAND gates","74AUP1G38GN","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G38GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G38.pdf","Production","AUP","NAND gates","open-drain; single 2-input NAND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Gates---NAND gates","74AUP1G38GS","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G38GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G38.pdf","Production","AUP","NAND gates","open-drain; single 2-input NAND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
"nxp","Logic---Gates---NAND gates","74AUP1G38GW","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G38GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G38.pdf","Production","AUP","NAND gates","open-drain; single 2-input NAND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NAND gates","74AUP1G38GX","http://www.nxp.com/products/logic/gates/nand_gates/74AUP1G38GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G38.pdf","Production","AUP","NAND gates","open-drain; single 2-input NAND gate","1.1 - 3.6","CMOS","1.9","8.5","70","1","ultra low","-40~125","322","90.7","191","5","X2SON5","SOT1226"
"nxp","Logic---Gates---NAND gates","74AUP2G00DC","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00DC.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NAND gates","74AUP2G00GD","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00GD.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NAND gates","74AUP2G00GF","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00GF.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Gates---NAND gates","74AUP2G00GM","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Gates---NAND gates","74AUP2G00GN","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00GN.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Gates---NAND gates","74AUP2G00GS","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00GS.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Gates---NAND gates","74AUP2G00GT","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G00GT.html","http://www.nxp.com/documents/data_sheet/74AUP2G00.pdf","Production","AUP","NAND gates","dual 2-input NAND gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Gates---NAND gates","74AUP2G38DC","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38DC.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NAND gates","74AUP2G38GD","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38GD.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NAND gates","74AUP2G38GF","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38GF.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Gates---NAND gates","74AUP2G38GM","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Gates---NAND gates","74AUP2G38GN","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38GN.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Gates---NAND gates","74AUP2G38GS","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38GS.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Gates---NAND gates","74AUP2G38GT","http://www.nxp.com/products/logic/gates/nand_gates/74AUP2G38GT.html","http://www.nxp.com/documents/data_sheet/74AUP2G38.pdf","Production","AUP","NAND gates","dual 2-input NAND gate; open-drain","1.1 - 3.6","CMOS","1.9","8.5","70","2","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Gates---NAND gates","74AXP1G00GM","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G00GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G00.pdf","Production","AXP","NAND gates","single 2-input NAND gate","0.7 - 2.75","CMOS","+/- 4.5","2.7","70","1","ultra low","-40~85","322","8.3","164","6","XSON6","SOT886"
"nxp","Logic---Gates---NAND gates","74AXP1G00GN","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G00GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G00.pdf","Production","AXP","NAND gates","single 2-input NAND gate","0.7 - 2.75","CMOS","+/- 4.5","2.7","70","1","ultra low","-40~85","366","28.6","226","6","XSON6","SOT1115"
"nxp","Logic---Gates---NAND gates","74AXP1G00GS","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G00GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G00.pdf","Production","AXP","NAND gates","single 2-input NAND gate","0.7 - 2.75","CMOS","+/- 4.5","2.7","70","1","ultra low","-40~85","347","36.3","235","6","XSON6","SOT1202"
"nxp","Logic---Gates---NAND gates","74AXP1G00GX","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G00GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G00.pdf","Production","AXP","NAND gates","single 2-input NAND gate","0.7 - 2.75","CMOS","+/- 4.5","2.7","70","1","ultra low","-40~85","352","115.9","217","5","X2SON5","SOT1226"
"nxp","Logic---Gates---NAND gates","74AXP1G10GM","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G10GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G10.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT886"
"nxp","Logic---Gates---NAND gates","74AXP1G10GN","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G10GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G10.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT1115"
"nxp","Logic---Gates---NAND gates","74AXP1G10GS","http://www.nxp.com/products/logic/gates/nand_gates/74AXP1G10GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G10.pdf","Production","","","","","","","","","","","","","","","6","XSON6","SOT1202"
"nxp","Logic---Gates---NAND gates","74HC1G00GV","http://www.nxp.com/products/logic/gates/nand_gates/74HC1G00GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G00.pdf","Production","HC(T)","NAND gates","single 2-input NAND gate","2.0 - 6.0","CMOS","+/- 2.6","7","36","1","low","-40~125","220","33.0","131","5","TSOP5","SOT753"
"nxp","Logic---Gates---NAND gates","74HC1G00GW","http://www.nxp.com/products/logic/gates/nand_gates/74HC1G00GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G00.pdf","Production","HC(T)","NAND gates","single 2-input NAND gate","2.0 - 6.0","CMOS","+/- 2.6","7","36","1","low","-40~125","261","39.3","138","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NAND gates","74HCT1G00GV","http://www.nxp.com/products/logic/gates/nand_gates/74HCT1G00GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G00.pdf","Production","HC(T)","NAND gates","single 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 2","10","36","1","low","-40~125","220","33.0","131","5","TSOP5","SOT753"
"nxp","Logic---Gates---NAND gates","74HCT1G00GW","http://www.nxp.com/products/logic/gates/nand_gates/74HCT1G00GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G00.pdf","Production","HC(T)","NAND gates","single 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 2","10","36","1","low","-40~125","261","39.3","138","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NAND gates","74HC2G00DC","http://www.nxp.com/products/logic/gates/nand_gates/74HC2G00DC.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G00.pdf","Production","HC(T)","NAND gates","dual 2-input NAND gate","2.0 - 6.0","CMOS","+/- 5.6","9","36","2","low","-40~125","204","35.1","115","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NAND gates","74HC2G00DP","http://www.nxp.com/products/logic/gates/nand_gates/74HC2G00DP.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G00.pdf","Production","HC(T)","NAND gates","dual 2-input NAND gate","2.0 - 6.0","CMOS","+/- 5.6","9","36","2","low","-40~125","216","20.5","106","8","TSSOP8","SOT505-2"
