"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channel Polarity","Configuration","V(BR)DSS Min (V)","VGS Max (V)","VGS(th) Max (V)","ID Max (A)","PD Max (W)","rDS(on) Max @ VGS = 2.5 V  (mOhms)","rDS(on) Max @ VGS = 4.5 V  (mOhms)","rDS(on) Max @ VGS = 10 V  (mOhms)","Qg Typ @ VGS = 4.5 V (nC)","Qg Typ @ VGS = 10 V (nC)","Qgd Typ @ VGS = 4.5 V (nC)","Qrr Typ (nC)","Ciss Typ (pF)","Coss Typ (pF)","Crss Typ (pF)","Package Type"
"on","IGBT 和 FET---MOSFET","FW389","FW389-TL-2W","http://www.onsemi.cn/PowerSolutions/product.do?id=FW389-TL-2W","http://www.onsemi.com/pub/Collateral/ENA2066-D.PDF","Power MOSFET, 100V, 2A, 225mΩ, -100V, -2A, 300mΩ, Complementary Dual SOIC-8","Pb-free
Halide free","Active","Power MOSFET, 100V, 2A, 225mΩ, -100V, -2A, 300mΩ, Complementary Dual SOIC-8","Complementary","Dual","100","20","2.6","2","1.8",,"254","225",,"10","2.1",,"490","34","13","SOIC-8"
"on","IGBT 和 FET---MOSFET","MCH3333A","MCH3333A-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3333A-TL-W","http://www.onsemi.com/pub/Collateral/MCH3333A-D.PDF","Power MOSFET, -30V, 215mΩ, -2.0A, Single P-Channel","Pb-free
Halide free","ActiveNEW","Power MOSFET, -30V, 215mΩ, -2.0A, Single P-Channel","P-Channel","Single","-30","-10","-1.3","-2","0.9","280","215",,"2.8",,"0.95",,"240","39","31","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3375","MCH3375-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3375-TL-W","http://www.onsemi.com/pub/Collateral/MCH3375-D.PDF","Power MOSFET, -30V, 295mΩ, -1.6A, Single P-Channel","Pb-free
Halide free","ActiveNEW","Power MOSFET, -30V, 295mΩ, -1.6A, Single P-Channel","P-Channel","Single","-30","20","-2.6","-1.6","0.8",,"523","295",,"2.2","0.49",,"82","22","16","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3377","MCH3377-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3377-TL-W","http://www.onsemi.com/pub/Collateral/MCH3377-D.PDF","P-Channel Power MOSFET, -20V, -3A, 83mΩ, Single MCPH3","Pb-free
Halide free","Active","P-Channel Power MOSFET, -20V, -3A, 83mΩ, Single MCPH3","P-Channel","Single","-20","10","-1.3","-3","1","125","83",,"4.6",,"1.3",,"375","77","58","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3383","MCH3383-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3383-TL-W","http://www.onsemi.com/pub/Collateral/MCH3383-D.PDF","Power MOSFET, -12V, 69mΩ, -3.5A, Single P-Channel","Pb-free
Halide free","Various","Power MOSFET, -12V, 69mΩ, -3.5A, Single P-Channel","P-Channel","Single","-12","5","-0.8","-3.5","1","69",,,,,"1.1",,"1010","130","85","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3475","MCH3475-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3475-TL-W","http://www.onsemi.com/pub/Collateral/MCH3475-D.PDF","Power MOSFET, 30V, 180mΩ, 1.8A, Single N-Channel","Pb-free
Halide free","Active","Power MOSFET, 30V, 180mΩ, 1.8A, Single N-Channel","N-Channel","Single","30","20","2.6","1.8","0.8",,,"180",,"2","0.29",,"88","19","11","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3477","MCH3477-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3477-TL-W","http://www.onsemi.com/pub/Collateral/MCH3477-D.PDF","Power MOSFET, 20V, 38mΩ, 4.5A, Single N-Channel","Pb-free
Halide free","Active","Power MOSFET, 20V, 38mΩ, 4.5A, Single N-Channel","N-Channel","Single","20","12","1.3","4.5","1","61","38",,"5.1",,"1.7",,"410","84","59","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3479","MCH3479-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3479-TL-W","http://www.onsemi.com/pub/Collateral/MCH3479-D.PDF","Power MOSFET, 20V, 64mΩ, 3.5A, Single N-Channel","Pb-free
Halide free","ActiveNEW","Power MOSFET, 20V, 64mΩ, 3.5A, Single N-Channel","N-Channel","Single","20","12","1.3","3.5","0.9","95","64",,"2.8",,"0.9",,"260","65","50","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH3484","MCH3484-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH3484-TL-W","http://www.onsemi.com/pub/Collateral/MCH3484-D.PDF","Power MOSFET, 20V, 40mΩ, 4.5A, Single N-Channel","Pb-free
Halide free","Active","Power MOSFET, 20V, 40mΩ, 4.5A, Single N-Channel","N-Channel","Single","20","5","0.8","4.5","1","40",,,,"11","1.8",,"630","75","65","SC-70FL / MCPH-3"
"on","IGBT 和 FET---MOSFET","MCH5839","MCH5839-TL-W","http://www.onsemi.cn/PowerSolutions/product.do?id=MCH5839-TL-W","http://www.onsemi.com/pub/Collateral/MCH5839-D.PDF","Power MOSFET, -20V, 266mOhm, -1.5A, Single P-Channel, with Schottky Diode","Pb-free
Halide free","ActiveNEW","Power MOSFET, -20V, 266mOhm, -1.5A, Single P-Channel, with Schottky Diode","P-Channel","with Schottky Diode","-20","10","-1.4","-1.5","0.8","431","266",,"1.7",,"0.47",,"120","26","20","SC-88AFL / MCPH-5"
