"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Control Mode","fsw Typ (kHz)","Stand-by Mode","UVLO (V)","Short Circuit Protection","Latch","Soft Start","VCC Max (V)","Drive Cap. (mA)","Package Type"
"on","AC-DC控制器和稳压器---离线控制器","NCP1217","NCP1217D65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1217D65R2G","http://www.onsemi.com/pub/Collateral/NCP1217-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1217","NCP1217P100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1217P100G","http://www.onsemi.com/pub/Collateral/NCP1217-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1217","NCP1217P133G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1217P133G","http://www.onsemi.com/pub/Collateral/NCP1217-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1217","NCP1217P65G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1217P65G","http://www.onsemi.com/pub/Collateral/NCP1217-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","No","16","500","PDIP-8
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1218","NCP1218AD65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1218AD65R2G","http://www.onsemi.com/pub/Collateral/NCP1218-D.PDF","PWM Controller with Adjustable Skip Level and External Latch Input","Pb-free
Halide free","Active","PWM Controller with Adjustable Skip Level and External Latch Input ","Flyback","Current Mode","65","Yes","9.4","Yes","Yes","Yes","20","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230D100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230D100R2G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230D133R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230D133R2G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230D165R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230D165R2G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230D65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230D65R2G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230P100G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230P100G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230P133G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230P133G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1230","NCP1230P65G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1230P65G","http://www.onsemi.com/pub/Collateral/NCP1230-D.PDF","PWM Controller, Fixed Frequency, Current Mode","Pb-free
Halide free","Active","PWM Controller, Fixed Frequency, Current Mode","Flyback","Current Mode","65
100
133","Yes","Yes","Yes","Yes","Yes","18","500 / 800","PDIP-8
SOIC-7
SOIC-8"
"on","AC-DC控制器和稳压器---离线控制器","NCP1236","NCP1236AD100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1236AD100R2G","http://www.onsemi.com/pub/Collateral/NCP1236-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.5","Yes","Yes","Yes","28","500 / 500","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1236","NCP1236AD65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1236AD65R2G","http://www.onsemi.com/pub/Collateral/NCP1236-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.5","Yes","Yes","Yes","28","500 / 500","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1236","NCP1236BD100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1236BD100R2G","http://www.onsemi.com/pub/Collateral/NCP1236-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.5","Yes","Yes","Yes","28","500 / 500","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1236","NCP1236BD65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1236BD65R2G","http://www.onsemi.com/pub/Collateral/NCP1236-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.5","Yes","Yes","Yes","28","500 / 500","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1236","NCP1236DD65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1236DD65R2G","http://www.onsemi.com/pub/Collateral/NCP1236-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.5","Yes","Yes","Yes","28","500 / 500","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1238","NCP1238AD65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1238AD65R2G","http://www.onsemi.com/pub/Collateral/NCP1238-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65","Yes","9.5","Yes","Yes","Yes","28","1000 / 1000","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1238","NCP1238BD65R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1238BD65R2G","http://www.onsemi.com/pub/Collateral/NCP1238-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65","Yes","9.5","Yes","Yes","Yes","28","1000 / 1000","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1240","NCP1240AD065R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1240AD065R2G","http://www.onsemi.com/pub/Collateral/NCP1240-D.PDF","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters, Latched OCP, 65kHz","Pb-free
Halide free","ActiveNEW","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.3","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1240","NCP1240AD100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1240AD100R2G","http://www.onsemi.com/pub/Collateral/NCP1240-D.PDF","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters, Latched OCP, 100kHz","Pb-free
Halide free","ActiveNEW","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.3","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1240","NCP1240BD065R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1240BD065R2G","http://www.onsemi.com/pub/Collateral/NCP1240-D.PDF","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters, Autorecovery, 65KHz","Pb-free
Halide free","ActiveNEW","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.3","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1240","NCP1240BD100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1240BD100R2G","http://www.onsemi.com/pub/Collateral/NCP1240-D.PDF","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters, Autorecovery, 100kHz","Pb-free
Halide free","ActiveNEW","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.3","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1240","NCP1240ED065R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1240ED065R2G","http://www.onsemi.com/pub/Collateral/NCP1240-D.PDF","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters, Latched","Pb-free
Halide free","ActiveNEW","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.3","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1240","NCP1240FD065R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1240FD065R2G","http://www.onsemi.com/pub/Collateral/NCP1240-D.PDF","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters, Autorecovery","Pb-free
Halide free","ActiveNEW","Controller, Fixed Frequency, Current Mode, Dual OCP for Flyback Converters","Flyback","Current Mode","65
100","Yes","9.3","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1246","NCP1246AD065R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1246AD065R2G","http://www.onsemi.com/pub/Collateral/NCP1246-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","8.9","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1246","NCP1246AD100R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1246AD100R2G","http://www.onsemi.com/pub/Collateral/NCP1246-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","8.9","Yes","Yes","Yes","28","500 / 800","SOIC-7"
"on","AC-DC控制器和稳压器---离线控制器","NCP1246","NCP1246ALD065R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP1246ALD065R2G","http://www.onsemi.com/pub/Collateral/NCP1246-D.PDF","Controller, Fixed Frequency, Current Mode, for Flyback Converters, , OVL Latch, Lower Limits","Pb-free
Halide free","Active","Controller, Fixed Frequency, Current Mode, for Flyback Converters","Flyback","Current Mode","65
100","Yes","8.9","Yes","Yes","Yes","28","500 / 800","SOIC-7"
