"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Output","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---缓冲器","MC74VHC1GT50","NL17VHC1GT50DF1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NL17VHC1GT50DF1G","http://www.onsemi.com/pub/Collateral/MC74VHC1GT50-D.PDF","Single Non-Inverting Buffer, TTL Level","Pb-free
Halide free","Active","Single Non-Inverting Buffer, TTL Level","1","CMOS","1.65","5.5","7.7","8","SC-88A-5 / SC-70-5 / SOT-323-5
TSOP-5 / SOT-23-5"
"on","标准逻辑---缓冲器","MC74VHC244","MC74VHC244DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC244DTG","http://www.onsemi.com/pub/Collateral/MC74VHC244-D.PDF","Octal Non-inverting Bus Buffer, 3-State","Pb-free
Halide free
PPAP Capable","Active","Octal Non-inverting Bus Buffer, 3-State","8","3-State","2","5.5","7.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHC244","MC74VHC244DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC244DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC244-D.PDF","Octal Non-inverting Bus Buffer, 3-State","Pb-free
Halide free
PPAP Capable","Active","Octal Non-inverting Bus Buffer, 3-State","8","3-State","2","5.5","7.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHC244","MC74VHC244DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC244DWR2G","http://www.onsemi.com/pub/Collateral/MC74VHC244-D.PDF","Octal Non-inverting Bus Buffer, 3-State","Pb-free
Halide free
PPAP Capable","Active","Octal Non-inverting Bus Buffer, 3-State","8","3-State","2","5.5","7.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHC244","NLV74VHC244DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV74VHC244DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC244-D.PDF","Octal Non-inverting Bus Buffer, 3-State","Pb-free
Halide free
PPAP Capable","Active","Octal Non-inverting Bus Buffer, 3-State","8","3-State","2","5.5","7.5","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHC540","MC74VHC540DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC540DTR2G","http://www.onsemi.com/pub/Collateral/MC74VHC540-D.PDF","Octal Bus Buffer","Pb-free
Halide free","Active","Octal Bus Buffer","8","3-State","2","5.5","7","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHC540","MC74VHC540DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHC540DWR2G","http://www.onsemi.com/pub/Collateral/MC74VHC540-D.PDF","Octal Bus Buffer","Pb-free
Halide free","Active","Octal Bus Buffer","8","3-State","2","5.5","7","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT125A","MC74VHCT125ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT125ADR2G","http://www.onsemi.com/pub/Collateral/MC74VHCT125A-D.PDF","Quad Bus Buffer, 3-State, TTL Level","Pb-free
Halide free","Active","Quad Bus Buffer, 3-State, TTL Level","4","3-State","4.5","5.5","7.5","8","SOIC-14
TSSOP-14"
"on","标准逻辑---缓冲器","MC74VHCT125A","MC74VHCT125ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT125ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT125A-D.PDF","Quad Bus Buffer, 3-State, TTL Level","Pb-free
Halide free","Active","Quad Bus Buffer, 3-State, TTL Level","4","3-State","4.5","5.5","7.5","8","SOIC-14
TSSOP-14"
"on","标准逻辑---缓冲器","MC74VHCT240A","MC74VHCT240ADTRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT240ADTRG","http://www.onsemi.com/pub/Collateral/MC74VHCT240A-D.PDF","Octal Inverting Buffer/Line Driver, 3-State Output","Pb-free
Halide free","Active","Octal Inverting Buffer/Line Driver, 3-State Output","8","3-State","4.5","5.5","8.8","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT240A","MC74VHCT240ADWRG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT240ADWRG","http://www.onsemi.com/pub/Collateral/MC74VHCT240A-D.PDF","Octal Inverting Buffer/Line Driver, 3-State Output","Pb-free
Halide free","Active","Octal Inverting Buffer/Line Driver, 3-State Output","8","3-State","4.5","5.5","8.8","8","SOIC-20W
TSSOP-20"
"on","标准逻辑---缓冲器","MC74VHCT257A","M74VHCT257ADTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=M74VHCT257ADTR2G","http://www.onsemi.com/pub/Collateral/MC74VHCT257A-D.PDF","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","Pb-free
Halide free","Active","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","4","3-State","4.5","5.5","7.9","8","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC74VHCT257A","MC74VHCT257ADG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT257ADG","http://www.onsemi.com/pub/Collateral/MC74VHCT257A-D.PDF","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","Pb-free
Halide free","Active","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","4","3-State","4.5","5.5","7.9","8","SOIC-16
TSSOP-16"
"on","标准逻辑---缓冲器","MC74VHCT257A","MC74VHCT257ADR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC74VHCT257ADR2G","http://www.onsemi.com/pub/Collateral/MC74VHCT257A-D.PDF","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","Pb-free
Halide free","Active","Quad 2-Channel Multiplexer (Mux) with 3-State Outputs","4","3-State","4.5","5.5","7.9","8","SOIC-16
TSSOP-16"
