"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Number of Switches","Configuration","Icc Max (uA)","ron Max (Ohms)","VCC Min (V)","VCC Max (V)","Package Type"
"on","模拟开关---信号开关","NLAS4053","NLAS4053DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4053DTG","http://www.onsemi.com/pub/Collateral/NLAS4053-D.PDF","Analog Multiplexers/Demultiplexers","Pb-free
Halide free","Active","Analog Multiplexers/Demultiplexers","3","6","SPDT","80","0.037
37","2.5","5.5","SOIC-16
TSSOP-16"
"on","模拟开关---信号开关","NLAS4053","NLAS4053DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4053DTR2G","http://www.onsemi.com/pub/Collateral/NLAS4053-D.PDF","Analog Multiplexers/Demultiplexers","Pb-free
Halide free","Active","Analog Multiplexers/Demultiplexers","3","6","SPDT","80","0.037
37","2.5","5.5","SOIC-16
TSSOP-16"
"on","模拟开关---信号开关","NLAS44599","NLAS44599DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS44599DTG","http://www.onsemi.com/pub/Collateral/NLAS44599-D.PDF","Dual DPDT Analog Switch","Pb-free
Halide free","Active","Dual DPDT Analog Switch ","4","8","DPDT","8","30","2","5.5","QFN-16
TSSOP-16"
"on","模拟开关---信号开关","NLAS44599","NLAS44599DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS44599DTR2G","http://www.onsemi.com/pub/Collateral/NLAS44599-D.PDF","Dual DPDT Analog Switch","Pb-free
Halide free","Active","Dual DPDT Analog Switch ","4","8","DPDT","8","30","2","5.5","QFN-16
TSSOP-16"
"on","模拟开关---信号开关","NLAS44599","NLAS44599MNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS44599MNG","http://www.onsemi.com/pub/Collateral/NLAS44599-D.PDF","Dual DPDT Analog Switch","Pb-free
Halide free","Active","Dual DPDT Analog Switch ","4","8","DPDT","8","30","2","5.5","QFN-16
TSSOP-16"
"on","模拟开关---信号开关","NLAS44599","NLAS44599MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS44599MNR2G","http://www.onsemi.com/pub/Collateral/NLAS44599-D.PDF","Dual DPDT Analog Switch","Pb-free
Halide free","Active","Dual DPDT Analog Switch ","4","8","DPDT","8","30","2","5.5","QFN-16
TSSOP-16"
"on","模拟开关---信号开关","NLAS4599","NLAS4599DFT2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4599DFT2G","http://www.onsemi.com/pub/Collateral/NLAS4599-D.PDF","Single SPDT Analog Switch Single Supply","Pb-free
Halide free","Active","Single SPDT Analog Switch Single Supply","1","2","SPDT","2","30","2","5.5","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","模拟开关---信号开关","NLAS4599","NLAS4599DTT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4599DTT1G","http://www.onsemi.com/pub/Collateral/NLAS4599-D.PDF","Single SPDT Analog Switch Single Supply","Pb-free
Halide free","Active","Single SPDT Analog Switch Single Supply","1","2","SPDT","2","30","2","5.5","SC-88-6 / SC-70-6 / SOT-363-6
TSOP-6"
"on","模拟开关---信号开关","NLAS4717","NLAS4717FCT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4717FCT1G","http://www.onsemi.com/pub/Collateral/NLAS4717-D.PDF","Analog Switch, High Bandwidth, Dual SPDT,  Dual SPDT USB 2.0 Analog Switch","Pb-free
Halide free","Active","Analog Switch, High Bandwidth, Dual SPDT","2",,,,,,,"Flip-Chip-10
Micro10"
"on","模拟开关---信号开关","NLAS4717","NLAS4717MR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLAS4717MR2G","http://www.onsemi.com/pub/Collateral/NLAS4717-D.PDF","Analog Switch, High Bandwidth, Dual SPDT","Pb-free
Halide free","Active","Analog Switch, High Bandwidth, Dual SPDT","2",,,,,,,"Flip-Chip-10
Micro10"
