"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Configuration","VRRM Min (V)","VF Max (V)","IRM Max (uA)","IO(rec) Max (A)","IFSM Max (A)","trr Max (ns)","Cj Max (pF)","Package Type"
"on","二极管和整流器---肖特基二极管及整流器","MBR560MFS","MBR560MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR560MFST3G","http://www.onsemi.com/pub/Collateral/MBR560MFS-D.PDF","5A 60V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 60V Schottky Rectifier in SO-8FL","Single","60","0.78","150","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR560MFS","NRVB560MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB560MFST1G","http://www.onsemi.com/pub/Collateral/MBR560MFS-D.PDF","5A 60V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 60V Schottky Rectifier in SO-8FL","Single","60","0.78","150","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR560MFS","NRVB560MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB560MFST3G","http://www.onsemi.com/pub/Collateral/MBR560MFS-D.PDF","5A 60V Schottky Rectifier in SO-8FL","AEC Qualified
Pb-free
Halide free","Active","5A 60V Schottky Rectifier in SO-8FL","Single","60","0.78","150","5","100",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR6045WT","MBR6045WTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR6045WTG","http://www.onsemi.com/pub/Collateral/MBR6045WT-D.PDF","Schottky Barrier Rectifier, 60 A, 45 V","Pb-free","Active","Schottky Barrier Rectifier, 60 A, 45 V","Common Cathode","45","0.75","1000","60","500",,,"TO-247-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR60L45","MBR60L45CTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR60L45CTG","http://www.onsemi.com/pub/Collateral/MBR60L45CT-D.PDF","Schottky Barrier Rectifier, L-Series, 60 A, 45 V","Pb-free","Active","Schottky Barrier Rectifier, L-Series, 60 A, 45 V","Common Cathode","45","0.73","1200","60","200",,,"TO-220-3
TO-247-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR60L45","MBR60L45WTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR60L45WTG","http://www.onsemi.com/pub/Collateral/MBR60L45CT-D.PDF","Schottky Barrier Rectifier, L-Series, 60 A, 45 V","Pb-free","Active","Schottky Barrier Rectifier, L-Series, 60 A, 45 V","Common Cathode","45","0.73","1200","60","200",,,"TO-220-3
TO-247-3"
"on","二极管和整流器---肖特基二极管及整流器","MBR735","MBR735G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR735G","http://www.onsemi.com/pub/Collateral/MBR735-D.PDF","Schottky Power Rectifier, Switch-mode, Dual, 7.5 A, 35 V","Pb-free","Active","Schottky Power Rectifier, Switch-mode, Dual, 7.5 A, 35 V","Single","35","0.84","10","7.5","150",,,"TO-220-2"
"on","二极管和整流器---肖特基二极管及整流器","MBR830MFS","MBR830MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR830MFST1G","http://www.onsemi.com/pub/Collateral/MBR830MFS-D.PDF","8 A, 30 V Schottky Diode in SO-8FL
, 8A  30V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 30 V Schottky Diode in SO-8FL
","Single","30","0.7","200","8","150",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR830MFS","MBR830MFST3G","http://www.onsemi.cn/PowerSolutions/product.do?id=MBR830MFST3G","http://www.onsemi.com/pub/Collateral/MBR830MFS-D.PDF","8 A, 30 V Schottky Diode in SO-8FL
, 8A  30V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 30 V Schottky Diode in SO-8FL
","Single","30","0.7","200","8","150",,,"SO-8FL / DFN-5"
"on","二极管和整流器---肖特基二极管及整流器","MBR830MFS","NRVB830MFST1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NRVB830MFST1G","http://www.onsemi.com/pub/Collateral/MBR830MFS-D.PDF","8 A, 30 V Schottky Diode in SO-8FL
, 8A  30V Schottky Diode","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","8 A, 30 V Schottky Diode in SO-8FL
","Single","30","0.7","200","8","150",,,"SO-8FL / DFN-5"
