"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Output","Polarity","VO (V)","IO Typ (A)","VI Max (V)","VDO Typ (V)","Iq Typ (mA)","PSRR (dB)","Noise (microVrms)","Package Type"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACDT-3.0G","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACDT-3.0G","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACDT-3.3RG","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACDT-3.3RG","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACDT-3RKG","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACDT-3RKG","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACDT-5.0G","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACDT-5.0G","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACDT-5RKG","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACDT-5RKG","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACZ-3.0G","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACZ-3.0G","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACZ-3.0RAG","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACZ-3.0RAG","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACZ-3.3G","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACZ-3.3G","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACZ-3.3RAG","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACZ-3.3RAG","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
"on","DC-DC控制器、转换器和稳压器---线性稳压器","LP2950","LP2950ACZ-5.0G","http://www.onsemi.cn/PowerSolutions/product.do?id=LP2950ACZ-5.0G","http://www.onsemi.com/pub/Collateral/LP2950-D.PDF","Linear Voltage Regulator, LDO, Low Power, 100 mA, V","Pb-free
Halide free","Active","Linear Voltage Regulator, LDO, Low Power, 100 mA","Single","Positive","3
3.3
5","0.1","30","0.35","0.093","48","56","DPAK-3
TO-92"
