"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Polarity","VCE(sat) Max (V)","IC Continuous (A)","V(BR)CEO Min (V)","hFE Min","hFE Max","fT Min (MHz)","PTM Max (W)","Package Type"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","BSS63L","BSS63LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BSS63LT1G","http://www.onsemi.com/pub/Collateral/BSS63LT1-D.PDF","High Voltage PNP Bipolar Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","High Voltage PNP Bipolar Transistor","PNP",,"0.1","100","30","-","50","0.225","SOT-23-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","BSS63L","NSVBSS63LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=NSVBSS63LT1G","http://www.onsemi.com/pub/Collateral/BSS63LT1-D.PDF","High Voltage PNP Bipolar Transistor","AEC Qualified
Pb-free
Halide free
PPAP Capable","Active","High Voltage PNP Bipolar Transistor","PNP",,"0.1","100","30","-","50","0.225","SOT-23-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","BSV52L","BSV52LT1G","http://www.onsemi.cn/PowerSolutions/product.do?id=BSV52LT1G","http://www.onsemi.com/pub/Collateral/BSV52LT1-D.PDF","NPN Bipolar Transistor","AEC Qualified
Pb-free
Halide free","Active","NPN Bipolar Transistor","NPN",,"0.1","12","40","120","400","0.225","SOT-23-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","BUL45D2","BUL45D2G","http://www.onsemi.cn/PowerSolutions/product.do?id=BUL45D2G","http://www.onsemi.com/pub/Collateral/BUL45D2-D.PDF","NPN Bipolar Power Transistor","Pb-free","Active","NPN Bipolar Power Transistor","NPN",,"5","400","22","-","-","75","TO-220-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","BUV22","BUV22G","http://www.onsemi.cn/PowerSolutions/product.do?id=BUV22G","http://www.onsemi.com/pub/Collateral/BUV22-D.PDF","40 A, 250 V NPN Bipolar Power Transistor","Pb-free","Active","40 A, 250 V NPN Bipolar Power Transistor","NPN",,"40","250","20","60","8","250","TO-204-2 / TO-3-2"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","BUV27","BUV27G","http://www.onsemi.cn/PowerSolutions/product.do?id=BUV27G","http://www.onsemi.com/pub/Collateral/BUV27-D.PDF","12 A, 120 V NPN Bipolar Power Transistor","Pb-free","Active","12 A, 120 V NPN Bipolar Power Transistor","NPN",,"12","120","-","-","-","70","TO-220-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3101","CPH3101-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3101-TL-E","http://www.onsemi.com/pub/Collateral/EN6006-D.PDF","Bipolar Transistor, -30V, -2A, Low VCE(sat), PNP Single CPH3","Pb-free","Active","Bipolar Transistor, -30V, -2A, Low VCE(sat), PNP Single CPH3","PNP","0.6","2","30","200","400","150","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3106","CPH3106-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3106-TL-E","http://www.onsemi.com/pub/Collateral/CPH3106-D.PDF","Bipolar Transistor, -12V, -3A, Low VCE(sat), PNP Single CPH3","Pb-free","Active","Bipolar Transistor, -12V, -3A, Low VCE(sat), PNP Single CPH3","PNP","0.165","3","12","200","560","-","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3109","CPH3109-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3109-TL-E","http://www.onsemi.com/pub/Collateral/EN6078-D.PDF","Bipolar Transistor, (-)30V, (-)3A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free","Active","Bipolar Transistor, (-)30V, (-)3A, Low VCE(sat), (PNP)NPN Single CPH3","PNP",,"3","30","200","560","380","0.9","CPH-3"
"on","双极晶体管---通用晶体管 和 低VCE(Sat) 晶体管","CPH3115","CPH3115-TL-E","http://www.onsemi.cn/PowerSolutions/product.do?id=CPH3115-TL-E","http://www.onsemi.com/pub/Collateral/EN6344-D.PDF","Bipolar Transistor, (-)30V, (-)1.5A, Low VCE(sat), (PNP)NPN Single CPH3","Pb-free
Halide free","Active","Bipolar Transistor, (-)30V, (-)1.5A, Low VCE(sat), (PNP)NPN Single CPH3","PNP","0.375","1.5","30","200","560","450","0.9","CPH-3"
