"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Megapixels","Frame Rate (fps)","Optical Format","Shutter Type","Pixel Size (µm)","Color","Package Type"
"on","光电、图像及触摸传感器---CMOS图像传感器","ASX340AT","ASX340AT2C00XPED0-DRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASX340AT2C00XPED0-DRBR","-","VGA 1/4" CMOS Image Sensor System-on-Chip","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/4" CMOS Image Sensor System-on-Chip","CMOS","VGA","60","1/4 inch","Electronic Rolling","5.6 x 5.6","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ASX340AT","ASX340AT2C00XPED0-DRBR1","http://www.onsemi.cn/PowerSolutions/product.do?id=ASX340AT2C00XPED0-DRBR1","-","VGA 1/4" CMOS Image Sensor System-on-Chip","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/4" CMOS Image Sensor System-on-Chip","CMOS","VGA","60","1/4 inch","Electronic Rolling","5.6 x 5.6","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ASX340AT","ASX340AT2C00XPED0-TPBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASX340AT2C00XPED0-TPBR","-","VGA 1/4" CMOS Image Sensor System-on-Chip","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","VGA 1/4" CMOS Image Sensor System-on-Chip","CMOS","VGA","60","1/4 inch","Electronic Rolling","5.6 x 5.6","RGB","IBGA-63"
"on","光电、图像及触摸传感器---CMOS图像传感器","ASX340AT","ASX340AT2C00XPED0-TRBR","http://www.onsemi.cn/PowerSolutions/product.do?id=ASX340AT2C00XPED0-TRBR","-","VGA 1/4" CMOS Image Sensor System-on-Chip","AEC Qualified
