"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Input Level","VCC Min (V)","VCC Max (V)","tpd Max (ns)","IO Max (mA)","Package Type"
"on","标准逻辑---转换器","NLSX4014","NLSX4014DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4014DR2G","http://www.onsemi.com/pub/Collateral/NLSX4014-D.PDF","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","4","CMOS","1.3","4.5","17","0.02","SOIC-14
TSSOP-14
UQFN-12"
"on","标准逻辑---转换器","NLSX4014","NLSX4014DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4014DTR2G","http://www.onsemi.com/pub/Collateral/NLSX4014-D.PDF","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","4","CMOS","1.3","4.5","17","0.02","SOIC-14
TSSOP-14
UQFN-12"
"on","标准逻辑---转换器","NLSX4014","NLSX4014MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4014MUTAG","http://www.onsemi.com/pub/Collateral/NLSX4014-D.PDF","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","4","CMOS","1.3","4.5","17","0.02","SOIC-14
TSSOP-14
UQFN-12"
"on","标准逻辑---转换器","NLSX4014","NLVSX4014MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVSX4014MUTAG","http://www.onsemi.com/pub/Collateral/NLSX4014-D.PDF","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","4-Bit 100 Mbps Configurable Dual-Supply Level Translator","4","CMOS","1.3","4.5","17","0.02","SOIC-14
TSSOP-14
UQFN-12"
"on","标准逻辑---转换器","NLSX4373","NLSX4373DMR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4373DMR2G","http://www.onsemi.com/pub/Collateral/NLSX4373-D.PDF","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","2","CMOS","1.5","5.5","20","1","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX4373","NLSX4373DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4373DR2G","http://www.onsemi.com/pub/Collateral/NLSX4373-D.PDF","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","2","CMOS","1.5","5.5","20","1","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX4373","NLSX4373MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4373MUTAG","http://www.onsemi.com/pub/Collateral/NLSX4373-D.PDF","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","2","CMOS","1.5","5.5","20","1","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX4373","NLVSX4373DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVSX4373DR2G","http://www.onsemi.com/pub/Collateral/NLSX4373-D.PDF","Level Translator, 2-Bit, 20 Mbps, Dual-Supply, 2-Bit 20 Mb/s Dual-Supply Level Translator","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","2","CMOS","1.5","5.5","20","1","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX4373","NLVSX4373MUTAG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLVSX4373MUTAG","http://www.onsemi.com/pub/Collateral/NLSX4373-D.PDF","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","Level Translator, 2-Bit, 20 Mbps, Dual-Supply","2","CMOS","1.5","5.5","20","1","Micro8™
SOIC-8
UDFN-8"
"on","标准逻辑---转换器","NLSX4401","NLSX4401MU1TCG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLSX4401MU1TCG","http://www.onsemi.com/pub/Collateral/NLSX4401-D.PDF","1-Bit 20 Mb/s Dual-Supply
Level Translator","Pb-free
Halide free","Active","1-Bit 20 Mb/s Dual-Supply
Level Translator","2","CMOS","1.5","5.5","8.6","0.02","UDFN-6"
