"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","VCC Min (V)","VCC Max (V)","tpd Max (ns)","PD Max (W)","IO Max (mA)","Package Type"
"on","标准逻辑---运算功能","MC14040B","MC14040BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14040BDR2G","http://www.onsemi.com/pub/Collateral/MC14040B-D.PDF","12-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","12-Bit Binary Counter","Counter","3","18","1440","0.5","2.25","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC14040B","MC14040BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14040BDTR2G","http://www.onsemi.com/pub/Collateral/MC14040B-D.PDF","12-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","12-Bit Binary Counter","Counter","3","18","1440","0.5","2.25","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC14040B","NLV14040BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14040BDG","http://www.onsemi.com/pub/Collateral/MC14040B-D.PDF","12-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","12-Bit Binary Counter","Counter","3","18","1440","0.5","2.25","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC14040B","NLV14040BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14040BDR2G","http://www.onsemi.com/pub/Collateral/MC14040B-D.PDF","12-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","12-Bit Binary Counter","Counter","3","18","1440","0.5","2.25","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC14040B","NLV14040BDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14040BDTR2G","http://www.onsemi.com/pub/Collateral/MC14040B-D.PDF","12-Bit Binary Counter","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","12-Bit Binary Counter","Counter","3","18","1440","0.5","2.25","SOIC-16
TSSOP-16"
"on","标准逻辑---运算功能","MC14490","MC14490DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14490DWG","http://www.onsemi.com/pub/Collateral/MC14490-D.PDF","Hex Bounce Eliminator","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Hex Bounce Eliminator","Bounce Eliminator","3","18","320","0.5","9","SOIC-16W"
"on","标准逻辑---运算功能","MC14490","MC14490DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14490DWR2G","http://www.onsemi.com/pub/Collateral/MC14490-D.PDF","Hex Bounce Eliminator","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Hex Bounce Eliminator","Bounce Eliminator","3","18","320","0.5","9","SOIC-16W"
"on","标准逻辑---运算功能","MC14490","NLV14490DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14490DWG","http://www.onsemi.com/pub/Collateral/MC14490-D.PDF","Hex Bounce Eliminator","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Hex Bounce Eliminator","Bounce Eliminator","3","18","320","0.5","9","SOIC-16W"
"on","标准逻辑---运算功能","MC14490","NLV14490DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NLV14490DWR2G","http://www.onsemi.com/pub/Collateral/MC14490-D.PDF","Hex Bounce Eliminator","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Hex Bounce Eliminator","Bounce Eliminator","3","18","320","0.5","9","SOIC-16W"
"on","标准逻辑---运算功能","MC14518B","MC14518BDWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14518BDWG","http://www.onsemi.com/pub/Collateral/MC14518B-D.PDF","Dual BCD Up Counter","Pb-free
Halide free","Active","Dual BCD Up Counter","Counter","3","18","230","0.5","2.25","SOIC-16W"
"on","标准逻辑---运算功能","MC14518B","MC14518BDWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14518BDWR2G","http://www.onsemi.com/pub/Collateral/MC14518B-D.PDF","Dual BCD Up Counter","Pb-free
Halide free","Active","Dual BCD Up Counter","Counter","3","18","230","0.5","2.25","SOIC-16W"
"on","标准逻辑---运算功能","MC14521B","MC14521BDG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14521BDG","http://www.onsemi.com/pub/Collateral/MC14521B-D.PDF","24-Stage Frequency Divider","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","24-Stage Frequency Divider","Divider","3","18","4500","0.5","2.25","SOIC-16"
"on","标准逻辑---运算功能","MC14521B","MC14521BDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC14521BDR2G","http://www.onsemi.com/pub/Collateral/MC14521B-D.PDF","24-Stage Frequency Divider","Pb-free
Halide free
AEC Qualified
PPAP Capable","Active","24-Stage Frequency Divider","Divider","3","18","4500","0.5","2.25","SOIC-16"
