"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Feature","Frequency, MHz (Bus Width)","Packages","Temperature Range"
"mxic","NOR Flash-Serial NOR Flash","MX25L6435E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6435E","http://www.macronix.com/Lists/Datasheet/Attachments/2856/MX25L6435E, 3V, 64Mb, v1.6.pdf","64Mb","Production","2.7V-3.6V","H/W Hold Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON 6x8mm 24-TFBGA 8x6mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6439E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6439E","http://www.macronix.com/Lists/Datasheet/Attachments/2827/MX25L6439E, 3V, 64Mb, v1.2.pdf","64Mb","Production","2.7V-3.6V","H/W Hold QPI Suspend/Resume Unique ID","104(x1, x4)","200mil 8-SOP 200mil 8-VSOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6456F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L6456F","-","64Mb","Production","2.65V-3.6V","H/W Hold Permanent Lock Suspend/Resume Unique ID","120(x1, x2, x4)","200mil 8-SOP 6x8mm 24-TFBGA(4x6) 6x8mm 24-TFBGA(5x5)","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L6473E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6473E","http://www.macronix.com/Lists/Datasheet/Attachments/2890/MX25L6473E, 3V, 64Mb, v1.4.pdf","64Mb","Production","2.7V-3.6V","Default 4 x I/O Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 200mil 8-VSOP 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6473F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6473F","http://www.macronix.com/Lists/Datasheet/Attachments/2872/MX25L6473F, 3V, 64Mb, v1.1.pdf","64Mb","Production","2.65V-3.6V","Default 4 x I/O Suspend/Resume Unique ID","133(x1, x2, x4)","200mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U6473F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U6473F","http://www.macronix.com/Lists/Datasheet/Attachments/2879/MX25U6473F, 1.8V, 64Mb, v1.0.pdf","64Mb","Production","1.65V-2V","Default 4 x I/O QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2)","200mil 8-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6406E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6406E","http://www.macronix.com/Lists/Datasheet/Attachments/2862/MX25L6406E, 3V, 64Mb, v1.9.pdf","64Mb","Production, not for new design","2.7V-3.6V","H/W Hold","86(x1) 80(x2)","200mil 8-SOP 200mil 8-VSOP 300mil 16-SOP 6x5mm 8-WSON 6x8mm 24-TFBGA 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6436E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6436E","http://www.macronix.com/Lists/Datasheet/Attachments/2813/MX25L6436E, 3V, 64Mb, v2.0.pdf","64Mb","Production, not for new design","2.7V-3.6V","-","104(x1) 70(x2) 75(x4)","200mi 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6445E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6445E","http://www.macronix.com/Lists/Datasheet/Attachments/2800/MX25L6445E, 3V, 64Mb, v1.8.pdf","64Mb","Production, not for new design","2.7V-3.6V","DTR","104(x1) 70(x2, x4)","200mil 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6455E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L6455E","-","64Mb","Production, not for new design","2.7V-3.6V","DTR Permanent Lock","104(x1) 70(x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L6456E","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L6456E","-","64Mb","Production, not for new design","2.7V-3.6V","H/W Hold Permanent Lock","104(x1, x4) 86(x2)","200mil 8-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L6465E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6465E","http://www.macronix.com/Lists/Datasheet/Attachments/2802/MX25L6465E, 3V, 64Mb, v1.4.pdf","64Mb","Production, not for new design","2.7V-3.6V","DTR H/W Hold","104(x1) 70(x2, x4)","200mil 8-SOP 300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L6475E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6475E","http://www.macronix.com/Lists/Datasheet/Attachments/2830/MX25L6475E, 3V, 64Mb, v1.1.pdf","64Mb","Production, not for new design","2.7V-3.6V","Default 4 x I/O H/W Hold","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3233F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3233F","http://www.macronix.com/Lists/Datasheet/Attachments/2876/MX25L3233F, 3V, 32Mb, v1.2.pdf","32Mb","Production, for new design","2.65V-3.6V","H/W Hold Suspend/Resume Unique ID","133(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 300mil 16-SOP 4x3mm 8-USON 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25R3235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R3235F","http://www.macronix.com/Lists/Datasheet/Attachments/2902/MX25R3235F, Wide Range, 32Mb, v1.2.pdf","32Mb","Production, for new design","1.65V-3.6V","H/W Hold H/W Reset Suspend/Resume Ultra Low Power Unique ID","80(x1, x2, x4)","150mil 8-SOP 200mil 8-SOP 4x3mm 8-USON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U3235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U3235F","http://www.macronix.com/Lists/Datasheet/Attachments/2908/MX25U3235F, 1.8V, 32Mb, v1.4.pdf","32Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","104(x1, x4) 84(x2)","200mil 8-SOP 4x3mm 8-USON 4x4mm 8-XSON 6x5mm 8-WSON WLCSP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3208E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3208E","http://www.macronix.com/Lists/Datasheet/Attachments/2845/MX25L3208E, 3V, 32Mb, v1.2.pdf","32Mb","Production","2.7V-3.6V","H/W Hold Unique ID","86(x1) 80(x2)","200mil 8-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L3235E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L3235E","http://www.macronix.com/Lists/Datasheet/Attachments/2855/MX25L3235E, 3V, 32Mb, v1.6.pdf","32Mb","Production","2.7V-3.6V","H/W Hold Unique ID","104(x1, x4) 86(x2)","200mil 8-SOP 300mil 16-SOP 6x5mm 8-WSON","-40℃ to +85℃"," "
