"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Feature","Vcc","Sector Type","Bus Width","Access Time (ns)","Packages","Temperature Range"
"mxic","NOR Flash---Parallel NOR Flash","MX29LA321D H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29LA321D H/L","-","32Mb","End of Life","-","2.7V-3.6V","Uniform Sector","x8, x16","70","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29LV033C","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV033C","http://www.macronix.com/Lists/Datasheet/Attachments/2385/MX29LV033C, 3V, 32Mb, v1.5.pdf","32Mb","End of Life","-","2.7V-3.6V","Uniform Sector","x8","70","40-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV320C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV320C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2382/MX29LV320C T-B, 3V, 32Mb, v2.2.pdf","32Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","70","48-TSOP 48-TFBGA 48-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV320D T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV320D T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2381/MX29LV320D T-B, 3V, 32Mb, v1.2.pdf","32Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","70","44-SOP 48-TSOP 48-TFBGA 48-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV321D T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV321D T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2372/MX29LV321D T-B, 3V, 32Mb, v1.1.pdf","32Mb","End of Life","-","2.7V-3.6V","Boot Sector","x16","90","48-TSOP 48-TFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV160D T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV160D T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2404/MX29LV160D T-B, 3V, 16Mb, v1.2.pdf","16Mb","Production, for new design","-","2.7V-3.6V","Boot Sector","x8, x16","70","48-TSOP 48-TFBGA 48-WFBGA 48-XFLGA 48-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV161D T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV161D T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2374/MX29LV161D T-B, 3V, 16Mb, v1.0.pdf","16Mb","Production, not for new design","VI/O","2.7V-3.6V","Boot Sector","x16","90","48-TSOP  48-TFBGA  48-WFBGA  48-XFLGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV160C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV160C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2397/MX29LV160C T-B, 3V, 16Mb, v2.6.pdf","16Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","70","44-SOP 48-TSOP 48-TFBGA 48-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29F800C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29F800C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2407/MX29F800C T-B, 5V, 8Mb, v1.2.pdf","8Mb","Production","-","4.5V-5.5V","Boot Sector","x8, x16","70","44-SOP 48-LFBGA 48-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV800C T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV800C T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2399/MX29LV800C T-B, 3V, 8Mb, v2.6.pdf","8Mb","Production, for new design","-","2.7V-3.6V","Boot Sector","x8, x16","70","44-SOP 48-TSOP 48-TFBGA 48-LFBGA 48-WFBGA 48-XFLGA","-40℃ to +85℃"," "
