"brand","Series","PartNo","DetailLink","dataSheet","Den","Org","Vcc","VccQ","Speed(Mhz)","tKQ(ns)","Pkg(Pins)","Status","Models","Comment"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLP102418B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102418B_51236B.pdf"," ","1Mx18","3.3V","2.5/3.3V","250,200","2.6,3.0","QFP(100),BGA(119,165)","Prod",","," "
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP25672","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP25672_51236_102418.pdf"," ","256Kx72","2.5V","2.5V","250,200","2.6,3.1","QFP(100),BGA(119,165,209)","Prod",",","P"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP51236B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102418B_51236B.pdf"," ","512Kx36","2.5V","2.5V","250,200","2.6,3.0","QFP(100),BGA(119,165)","Prod",","," P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVP102418B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLP_NVP102418B_51236B.pdf"," ","1Mx18","2.5V","2.5V","250,200","2.6,3.0","QFP(100),BGA(119,165)","Prod",","," P,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF25672","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25672_51236_102418.pdf"," ","256Kx72","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod",",","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF51236B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102418B_51236B.pdf"," ","512Kx36","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod",",","F,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NLF102418B","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF102418B_51236B.pdf"," ","1Mx18","3.3V","2.5/3.3V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F,"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF25672","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25672_51236_102418.pdf"," ","256Kx72","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod",",","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF51236","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25672_51236_102418.pdf"," ","512Kx36","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod",",","F"
"issi","SRAM-Synchronous SRAM---No-Wait(ZBT)","IS61NVF102418","http://www.issi.com/US/product-synchronous-sram.shtml","http://www.issi.com/WW/pdf/61NLF_NVF25672_51236_102418.pdf"," ","1Mx18","2.5V","2.5V","133,117","6.5,7.5","QFP(100),BGA(165,209)","Prod","-","F"
